b,b,,bb,
d,d,,dd,ed
f,"f, ph",,"ff, ft","gh, lf"
g,"g, gh, gue",gu,gg,
h,"h, wh",,,
dʒ,"j, g, ge",,"di, gg, dg","dge, "
k,"k, c, ch, x",qu,"cc, lk",ck
l,"l, ll",,,
m,m,,"mm, mb, mn, lm","mb, mn, lm"
n,"n, gn, pn",kn,nn,
p,p,,pp,
r,r,"wr, rh","rr, wr, rh",rr
s,"s, sc",,"ss, c, ps, st, ce, se","ps, ce, se"
t,"t, th",,tt,ed
v,v,,"f, ph, ve","f, ph, ve"
w,"w, wh",,"u, o",
z,"z, x",,"zz, s, ss, ze, se","zz, s, ss, ze, se"
ʒ,"z, s",,si,
tʃ,ch,,"tch, tu, ti, te",tch
ʃ,"sh, s",,"ce, ci, ch, sci, ti",ch
θ,th,,,
ð,th,,,
ŋ,,,"ng, n, ngu",ngue
j,"y, i",,j,
æ,a,,"ai, au",
eɪ,"a, ai, ay, er, et, ei, au, a.e, ea, ey",,"eigh, aigh","eigh, aigh"
e,"e, ea, u, ai, a, eo, ei, ae",,ie,
i:,"e, ea, y, ey, oe, i, ei, eo, ay",,"ie, ee",
ɪ,"i, e, o, u",,"ui, y, ie",y
aɪ,,"is, ai","i, y, igh, ie, uy, ye, ai, eigh, i.e","y, igh, ie, uy, ye"
ɒ,"a, au, aw",ho,ough,ough
oʊ,"o, ow",,"oa, o.e, oe, ough, eau, oo, ew","oe, ough, eau, ew"
ʊ,,,"o, oo, u, ou",
ʌ,,,"u, o, oo, ou",
u:,,,"o, oo, ew, ue, u.e, oe, ough, ui, oeu, ou","o, oo, ew, ue, ough"
ɔɪ,,,oi,"oy, uoy"
aʊ,ow,,"ou, ough",ough
ə,,a,i,"er, ar, our, ur"
eəʳ,,,,"air, are, ear, ere, eir, ayer"
ɑ:,a,,,
ɜ:ʳ,,,"ir, er, ur, ear, or, our, yr",
ɔ:,"aw, a, ar",au,"or, oor, ore, oar, our, ough, au","or, oor, ore, oar, our, ough, au"
ɪəʳ,,,,"ear, eer, ere, ier"
ʊəʳ,,,,"ure, our"
